Garden: Garden Name,Garden Geolocation (Latitude),Garden Geolocation (Longitude),Full Address,County,Neighborhood,Status,Number of Plots (Approximate),Total Square Footage (Approximate),Year Established,Website Page URL,Garden: ID,Micro-Network,Public Private,Zip Code,Category,Garden Type,Current Status,Garden Classification
17th St Community Garden,39.754354,-105.001652,"17th & Wewatta, Denver, CO 80202",Denver,,Design Stage,,,,,a213l000003PonM,,Public,80202,General,Garden,Design Stage - Public  Garden,Public  Garden
36th & Lafayette Community Garden,39.767187,-104.970687,"3600 Lafayette Street, Denver, CO 80205",Denver,Cole,Active,14,3500,2015,https://dug.org/find-gardens/36th-&-Lafayette-Community-Garden/,a211N000002Jm7v,2-Orange: Midtown Mung Beans,Public,80205,General,Garden,Active - Public  Garden,Public  Garden
39th Avenue Community Garden,39.771122,-104.96554,"39th and Williams, Denver, CO 80205",Denver,Cole,Active,12,3000,2021,https://dug.org/find-gardens/39th-Avenue-Community-Garden/,a211N000003Nnb4,2-Orange: Midtown Mung Beans,Public,80205,General,Garden,Active - Public  Garden,Public  Garden
48th & Julian Community Garden,39.784132,-105.030786,"48th and Julian, Denver, CO 80221",Denver,Sunnyside,Under Construction,,,2023,,a213l000002vxZL,,Public,80221,General,Garden,Under Construction - Public  Garden,Public  Garden
48th & Julian Food Forest,39.784132,-105.030786,"4800 Julian St, Denver, CO 80221",Denver,Sunnyside,Under Construction,,,2023,,a21Rd000000AykT,,Public,80221,General,Food Forest,Under Construction - Public  Food Forest,Public  Food Forest
Allison Community Gardens at Semper Farm,39.864787,-105.07092,"NW corner of 92nd & Pierce, Westminster, CO 80021",Jefferson,,Active,24,6900,2006,https://dug.org/find-gardens/Allison-Community-Gardens-at-Semper-Farm/,a211N000002Jm7y,1-Maroon: Northside Nasturtiums,Public,80021,General,Garden,Active - Public  Garden,Public  Garden
Anythink Commerce City Library Community Garden,39.826747,-104.913505,"7185 Monaco St., Commerce City, CO 80022",Adams,,Active,15,5000,2011,https://dug.org/find-gardens/Anythink-Commerce-City-Library-Community-Garden/,a211N000002Jm7z,1-Maroon: Northside Nasturtiums,Public,80022,General,Garden,Active - Public  Garden,Public  Garden
Anythink Perl Mack Library Community Garden,39.834607,-105.003594,"7611 Hilltop Cir, Sherrelwood, CO 80221",Adams,,Active,25,7100,2011,https://dug.org/find-gardens/Anythink-Perl-Mack-Library-Community-Garden/,a211N000002JmO6,1-Maroon: Northside Nasturtiums,Public,80221,General,Garden,Active - Public  Garden,Public  Garden
Anythink Wright Farms Community Garden,39.914509,-104.918568,"5877 E 120th Avenue, Thornton, CO 80602",Adams,,Active,40,10000,2013,https://dug.org/find-gardens/Anythink-Wright-Farms-Community-Garden/,a211N000002Jm80,1-Maroon: Northside Nasturtiums,Public,80602,General,Garden,Active - Public  Garden,Public  Garden
APDC Food Forest,39.741126,-104.883159,"1537 Alton St, Aurora, CO 80010",Adams,,Active,,,2023,,a21Rd000000GQmX,,Public,80010,General,Food Forest,Active - Public  Food Forest,Public  Food Forest
Applewood Community Garden,39.760696,-105.144622,"12930 W. 32nd Ave, Golden, CO 80401",Jefferson,,Active,28,6100,2007,https://dug.org/find-gardens/Applewood-Community-Garden/,a211N000002Jm81,3-Green: SouthWest Sugar Snap Peas,Public,80401,General,Garden,Active - Public  Garden,Public  Garden
