,sensor_index,last_modified,date_created,last_seen,name,model,hardware,led_brightness,firmware_version,uptime,pa_latency,memory,position_rating,latitude,longitude,altitude,channel_state,channel_flags,channel_flags_manual,channel_flags_auto,confidence,confidence_auto,confidence_manual,humidity,temperature,pressure,voc,created_date_str
0,2900,1654299167,1502747944,1702154075,West Denver Weather,PA-II,2.0+1M+BME280+PMSX003-B+PMSX003-A,50,6.06b,11179,199,16384,5,39.75296,-105.04084,5336,3,0,0,0,100,100,100,29.0,47.0,844.85,,2017-08-14 21:59:04
1,14925,1575090625,1536091689,1702154069,Bitterroot Place,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,35,7.02,15054,216,15960,5,39.54988,-105.015366,5621,3,0,0,0,100,100,100,28.0,49.0,835.48,,2018-09-04 20:08:09
2,26369,1550103456,1549574847,1702154161,SRRanches,PA-II,2.0+PMSX003-B+PMSX003-A,35,7.02,2572,246,16184,5,39.60088,-104.73798,5875,3,0,0,0,78,78,78,,,,,2019-02-07 21:27:27
3,35753,1575090660,1564085479,1702154123,Washington Street Air Quality,PA-II-SD,2.0+OPENLOG+15802 MB+DS3231+BME280+PMSX003-B+PMSX003-A,35,7.02,42206,420,15864,5,39.69231,-104.97902,5286,3,0,0,0,100,100,100,29.0,46.0,847.2,,2019-07-25 20:11:19
4,56537,1647142221,1590529341,1702154141,Galagher House,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,35,7.02,11789,252,16000,1,39.73727,-104.963905,5328,3,0,0,0,56,56,56,24.0,49.0,845.12,,2020-05-26 21:42:21
5,60517,1597865269,1596145557,1702154162,STANDLEY LAKE,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,35,7.02,28337,240,15936,5,39.879192,-105.11995,5536,3,0,0,0,100,100,100,31.0,46.0,838.86,,2020-07-30 21:45:57
6,62257,1598836238,1598285486,1702154078,Green Mtn,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,35,7.02,15222,372,16216,5,39.69034,-105.131996,5833,3,0,0,0,37,37,37,29.0,44.0,829.39,,2020-08-24 16:11:26
7,63499,1599276273,1598654775,1702154126,Lambertson Lakes,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,35,7.02,4560,486,16360,5,39.878773,-104.96496,5329,3,0,0,0,85,85,85,25.0,51.0,845.07,,2020-08-28 22:46:15
8,66251,1600052482,1599582107,1702154149,Ken Caryl Valley,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,35,7.02,14561,272,15928,5,39.57542,-105.16082,6054,3,0,0,0,76,76,76,33.0,41.0,822.19,,2020-09-08 16:21:47
9,68435,1686447729,1600109249,1702154153,Leawood,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,35,7.02,183,309,16248,5,39.605766,-105.07226,5509,3,0,0,0,42,42,42,37.0,44.0,840.39,,2020-09-14 18:47:29
10,72937,1601681941,1601068889,1702154162,Golden Colorado,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,35,7.02,37680,482,16144,5,39.75526,-105.232925,5723,3,0,0,0,100,100,100,22.0,48.0,832.74,,2020-09-25 21:21:29
11,74489,1601919837,1601414316,1702154066,San Marino Villages,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,35,7.02,2652,246,16192,5,39.85253,-105.12675,5610,3,0,0,0,100,100,100,32.0,43.0,837.28,,2020-09-29 21:18:36
12,75209,1628257516,1601500733,1702154126,Sterling Hills,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,35,7.02,5715,444,16000,5,39.672745,-104.76515,5663,3,0,0,0,100,100,100,28.0,44.0,834.92,,2020-09-30 21:18:53
13,78335,1602375898,1602089474,1702154113,Hilltop,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,35,7.02,56300,251,16248,5,39.72317,-104.923904,5384,3,0,0,0,100,100,100,32.0,41.0,844.46,,2020-10-07 16:51:14
14,80611,1626664849,1602606320,1702154116,Dayton Street,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,35,7.02,14658,242,15960,5,39.763893,-104.87417,5298,3,0,0,0,74,74,74,34.0,37.0,846.69,,2020-10-13 16:25:20
15,80751,1603547557,1602608036,1702154164,Willowbrook Outdoor,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,35,7.02,62663,233,16328,5,39.607594,-105.176025,6125,3,0,0,0,100,100,100,29.0,47.0,820.69,,2020-10-13 16:53:56
16,81953,1612913238,1602785582,1702154058,North Table Mountain,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,35,7.02,67946,336,16016,5,39.770546,-105.22455,6051,3,0,0,0,100,100,100,32.0,43.0,825.03,,2020-10-15 18:13:02
17,82389,1603326984,1602799235,1702154079,Smoky-Aurora,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,35,7.02,49,268,16024,5,39.597054,-104.70635,6120,3,0,0,0,100,100,100,39.0,41.0,669.02,,2020-10-15 22:00:35
18,83397,1603923431,1603142479,1702154077,Gopher70,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,35,7.02,53586,246,15848,5,39.67582,-105.26798,7303,3,0,0,0,66,66,66,34.0,40.0,783.78,,2020-10-19 21:21:19
19,83415,1603907101,1603142594,1702154071,Saddle Rock South,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,35,7.02,2130,249,16096,5,39.589264,-104.73701,5920,3,0,0,0,100,100,100,33.0,37.0,826.49,,2020-10-19 21:23:14
20,84193,1608928228,1603318558,1702154149,"532 Deframe Ct Golden, CO",PA-II,2.0+BME280+PMSX003-B+PMSX003-A,35,7.02,59698,261,16328,5,39.72467,-105.15414,5807,3,0,0,0,100,100,100,28.0,47.0,830.36,,2020-10-21 22:15:58
21,86047,1643127809,1603897995,1702154111,Walker House,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,35,7.02,1560,276,16080,5,39.69965,-104.96552,5330,3,0,0,0,100,100,100,28.0,47.0,845.04,,2020-10-28 15:13:15
22,86455,1607037844,1603914727,1702154092,Bonnie Brae - West,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,35,7.02,11895,210,15920,5,39.699726,-104.95851,5355,3,0,0,0,100,100,100,28.0,46.0,844.01,,2020-10-28 19:52:07
23,90201,1607453848,1605555020,1702154110,Eastlake01,PA-II,2.0+PMSX003-B+PMSX003-A,35,7.02,13296,361,15888,5,39.922005,-104.95503,5246,3,1,0,1,0,0,0,,,,,2020-11-16 19:30:20
24,90605,1606937465,1605648456,1702154048,Stapleton Dog Park,PA-II-SD,2.0+OPENLOG+NO-DISK+DS3231+BME280+PMSX003-B+PMSX003-A,35,7.02,53932,373,15912,5,39.75038,-104.895935,5335,3,0,0,0,100,100,100,27.0,48.0,845.18,,2020-11-17 21:27:36
25,90867,1631933226,1605654339,1702154135,Aggies_Outdoor,PA-II-SD,2.0+OPENLOG+15485 MB+DS3231+BME280+PMSX003-B+PMSX003-A,35,7.02,4933,555,15952,5,39.607517,-104.75168,5900,3,0,0,0,100,100,100,33.0,41.0,827.27,,2020-11-17 23:05:39
26,95503,1626034957,1608576812,1702154113,Arrakis,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,35,7.02,29995,201,16248,5,39.701214,-105.12802,5812,3,0,0,0,23,23,23,33.0,44.0,830.71,,2020-12-21 18:53:32
27,96781,1622034454,1609276572,1702154080,Wellshire,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,35,7.02,25747,232,15264,5,39.65496,-104.95548,5413,3,0,0,0,100,100,100,53.0,71.0,654.58,,2020-12-29 21:16:12
28,97647,1620442534,1611248243,1702154133,Broomfield - Calkins Pl,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,35,7.02,7319,340,15872,5,39.925755,-105.02234,5223,3,0,0,0,100,100,100,31.0,43.0,848.77,,2021-01-21 16:57:23
29,98029,1625092429,1611266986,1702154056,Lumberg Elementary,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,35,7.02,23033,503,16152,5,39.750244,-105.0709,5392,3,0,0,0,100,100,100,32.0,45.0,843.4,,2021-01-21 22:09:46
30,101027,1615321793,1615321774,1702154089,Inca,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,35,7.02,34581,253,16080,5,39.630074,-105.27138,7549,3,0,0,0,83,83,83,39.0,35.0,777.05,,2021-03-09 20:29:34
31,102182,1692121454,1616689372,1702154071,Dudley St,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,35,7.02,24032,585,16160,5,39.74456,-105.09453,5504,3,2,0,2,0,0,0,33.0,42.0,840.04,,2021-03-25 16:22:52
32,102866,1645973193,1617136736,1702154078,"Golden, CO",PA-II-SD,2.0+OPENLOG+NO-DISK+DS3231+BME280+PMSX003-B+PMSX003-A,35,7.02,29078,238,16008,5,39.727352,-105.216644,6037,3,0,0,0,100,100,100,20.0,52.0,822.88,,2021-03-30 20:38:56
33,103918,1627058970,1618264035,1702154148,TigerDenWX,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,35,7.02,28200,268,16080,5,39.640503,-104.786964,5701,3,1,0,1,0,0,1,33.0,39.0,833.54,,2021-04-12 21:47:15
34,104624,1627922775,1618955180,1702154071,South Park Hill,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,35,7.02,20554,246,15792,5,39.744926,-104.92115,5336,3,0,0,0,100,100,100,29.0,43.0,845.64,,2021-04-20 21:46:20
35,105682,1634588272,1620159489,1702154072,"Hilltop, S Cherry St.",PA-II,2.0+BME280+PMSX003-B+PMSX003-A,35,7.02,46529,246,15896,5,39.7134,-104.93341,5411,3,0,0,0,99,99,99,29.0,51.0,843.23,,2021-05-04 20:18:09
36,108970,1629145105,1623797439,1701622232,"Morrison, CO",PA-II-SD,2.0+OPENLOG+15476 MB+DS3231+PMSX003-B+PMSX003-A,35,7.02,2668,342,16232,5,39.59752,-105.253296,7411,3,0,0,0,33,33,33,,,,,2021-06-15 22:50:39
37,109472,1629474720,1624046471,1702154096,LogiosByTheMtns,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,35,7.02,28342,247,15928,5,39.725914,-104.92911,5371,3,0,0,0,100,100,100,35.0,42.0,845.16,,2021-06-18 20:01:11
38,109662,1628986390,1624057354,1702154070,W. 19th Pl. & Applewood Dr.,PA-II-SD,2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A,35,7.02,18862,198,16408,5,39.74577,-105.13994,5592,3,0,0,0,100,100,100,31.0,45.0,837.45,,2021-06-18 23:02:34
39,111061,1632322371,1624913914,1702154061,Oakbrook_out,PA-II-SD,2.0+DS3231+BME280+PMSX003-B+PMSX003-A,35,7.02,250,284,16160,5,39.574375,-104.98174,5604,3,1,0,1,0,0,0,26.0,54.0,837.04,,2021-06-28 20:58:34
40,112388,1689888555,1625285960,1702154066,Baker,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,35,7.02,44337,233,15752,5,39.72678,-104.99692,5253,3,0,0,0,100,100,100,23.0,52.0,848.79,,2021-07-03 04:19:20
41,112522,1630007755,1625531060,1702154112,Linda Park Addition,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,35,7.02,38795,687,16016,5,39.82646,-105.04739,5303,3,0,0,0,100,100,100,29.0,47.0,847.61,,2021-07-06 00:24:20
42,112694,1635289761,1625604738,1702154149,48th and Adams,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,35,7.02,1130,258,16136,5,39.78359,-104.94885,5203,3,2,0,2,0,0,0,27.0,46.0,849.47,,2021-07-06 20:52:18
43,112718,1629412866,1625605505,1702154107,Fruitdale,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,35,7.02,13664,273,16016,5,39.778137,-105.11771,5384,3,1,0,1,0,0,0,28.0,47.0,843.28,,2021-07-06 21:05:05
44,112870,1629517598,1625611232,1702154114,Observatory Park,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,35,7.02,6293,276,15888,3,39.675125,-104.968094,5341,3,0,0,0,100,100,100,38.0,41.0,844.54,,2021-07-06 22:40:32
45,112936,1628959020,1625612071,1702154148,26-Utica,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,35,7.02,32588,447,15768,5,39.755035,-105.04515,5349,3,0,0,0,100,100,100,27.0,47.0,845.27,,2021-07-06 22:54:31
46,113827,1695257833,1626125594,1702154130,Alex Huffman,PA-II-SD,2.0+OPENLOG+15980 MB+DS3231+BME280+PMSX003-B+PMSX003-A,35,7.02,62200,218,15992,0,39.578747,-104.87674,5836,3,0,0,0,100,100,100,34.0,43.0,838.7,,2021-07-12 21:33:14
47,115303,1630413850,1626817415,1702154165,Amli Arista,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,35,7.02,32105,3381,16016,5,39.901924,-105.08641,5426,3,2,0,2,4,3,5,35.0,40.0,843.42,,2021-07-20 21:43:35
